# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3585e+00 1.4437e+00 1.0986e+01 7.8802e-01 5.9345e-02 3.0048e-02 5.6070e-03 3.2393e-02 4.2699e-01 5.5000e-01
7.3684e-04 7.9114e-04 1.5598e+00 1.6806e+00 1.0085e+01 9.2334e-01 5.4457e-02 3.6714e-02 6.7822e-03 3.9159e-02 3.7952e-01 5.5000e-01
9.7368e-04 1.0685e-03 1.6607e+00 1.8046e+00 9.4007e+00 9.7314e-01 5.0553e-02 4.2141e-02 7.7329e-03 4.4651e-02 3.5284e-01 5.5000e-01
1.2105e-03 1.3571e-03 1.7089e+00 1.8662e+00 8.8631e+00 9.8026e-01 4.7402e-02 4.6707e-02 8.5304e-03 4.9276e-02 3.3566e-01 5.5000e-01
1.4474e-03 1.6569e-03 1.7281e+00 1.8918e+00 8.4289e+00 9.6644e-01 4.4822e-02 5.0639e-02 9.2156e-03 5.3263e-02 3.2364e-01 5.5000e-01
1.6842e-03 1.9679e-03 1.7306e+00 1.8962e+00 8.0703e+00 9.4270e-01 4.2680e-02 5.4083e-02 9.8148e-03 5.6758e-02 3.1475e-01 5.5000e-01
1.9211e-03 2.2901e-03 1.7235e+00 1.8877e+00 7.7685e+00 9.1467e-01 4.0877e-02 5.7142e-02 1.0346e-02 5.9858e-02 3.0793e-01 5.5000e-01
2.1579e-03 2.6235e-03 1.7106e+00 1.8713e+00 7.5105e+00 8.8530e-01 3.9342e-02 5.9886e-02 1.0821e-02 6.2636e-02 3.0254e-01 5.5000e-01
2.3947e-03 2.9682e-03 1.6945e+00 1.8502e+00 7.2872e+00 8.5613e-01 3.8022e-02 6.2370e-02 1.1251e-02 6.5144e-02 2.9818e-01 5.5000e-01
2.6316e-03 3.3241e-03 1.6764e+00 1.8264e+00 7.0918e+00 8.2794e-01 3.6876e-02 6.4635e-02 1.1641e-02 6.7423e-02 2.9459e-01 5.5000e-01
2.8684e-03 3.6912e-03 1.6575e+00 1.8010e+00 6.9192e+00 8.0111e-01 3.5873e-02 6.6712e-02 1.1999e-02 6.9503e-02 2.9161e-01 5.5000e-01
3.1053e-03 4.0695e-03 1.6382e+00 1.7750e+00 6.7656e+00 7.7580e-01 3.4989e-02 6.8625e-02 1.2327e-02 7.1410e-02 2.8909e-01 5.5000e-01
3.3421e-03 4.4591e-03 1.6189e+00 1.7488e+00 6.6279e+00 7.5203e-01 3.4204e-02 7.0395e-02 1.2630e-02 7.3165e-02 2.8696e-01 5.5000e-01
3.5789e-03 4.8598e-03 1.5998e+00 1.7228e+00 6.5038e+00 7.2976e-01 3.3505e-02 7.2039e-02 1.2911e-02 7.4785e-02 2.8513e-01 5.5000e-01
3.8158e-03 5.2718e-03 1.5812e+00 1.6972e+00 6.3914e+00 7.0893e-01 3.2878e-02 7.3570e-02 1.3171e-02 7.6284e-02 2.8355e-01 5.5000e-01
4.0526e-03 5.6950e-03 1.5631e+00 1.6723e+00 6.2890e+00 6.8944e-01 3.2314e-02 7.4998e-02 1.3414e-02 7.7674e-02 2.8219e-01 5.5000e-01
4.2895e-03 6.1294e-03 1.5455e+00 1.6480e+00 6.1955e+00 6.7120e-01 3.1804e-02 7.6335e-02 1.3640e-02 7.8966e-02 2.8101e-01 5.5000e-01
4.5263e-03 6.5751e-03 1.5285e+00 1.6245e+00 6.1096e+00 6.5412e-01 3.1341e-02 7.7588e-02 1.3852e-02 8.0167e-02 2.7999e-01 5.5000e-01
4.7632e-03 7.0319e-03 1.5121e+00 1.6018e+00 6.0306e+00 6.3811e-01 3.0920e-02 7.8765e-02 1.4051e-02 8.1287e-02 2.7909e-01 5.5000e-01
5.0000e-03 7.5000e-03 1.4963e+00 1.5798e+00 5.9577e+00 6.2309e-01 3.0536e-02 7.9871e-02 1.4237e-02 8.2332e-02 2.7831e-01 5.5000e-01
